,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
88,Adult,No,Travel_Rarely,Very High,Research & Development,Very High,2,Medical,2,Male,High,4,2.0,Healthcare Representative,1,Single,Low,0,No,19.0,3.0,3.0,0,Medium,2,3,High,3,0.0,7.0
89,Adult,No,Travel_Rarely,Medium,Research & Development,Low,1,Medical,1,Male,Low,2,1.0,Research Scientist,4,Single,Low,0,No,12.0,3.0,4.0,0,Low,2,3,Medium,3,1.0,1.0
90,Adult,No,Travel_Rarely,Medium,Research & Development,High,3,Medical,4,Male,High,3,2.0,Manufacturing Director,2,Married,Low,4,No,21.0,4.0,3.0,0,Medium,3,3,Medium,4,1.0,0.0
91,Senior Citizen,No,Travel_Rarely,Very High,Research & Development,Medium,3,Technical Degree,3,Female,Low,2,3.0,Healthcare Representative,2,Divorced,Medium,2,Yes,13.0,3.0,4.0,1,Very High,3,3,High,0,0.0,4.0
92,Adult,No,Travel_Rarely,High,Human Resources,High,3,Human Resources,3,Male,Low,3,1.0,Human Resources,2,Married,Very High,4,No,13.0,3.0,2.0,1,Medium,2,3,Medium,2,0.0,4.0
93,Elderly,No,Travel_Rarely,Medium,Sales,Medium,2,Marketing,1,Female,High,2,3.0,Sales Executive,4,Married,Very High,7,Yes,18.0,3.0,4.0,1,Very High,3,3,Medium,2,0.0,4.0
94,Adult,Yes,Non-Travel,Low,Research & Development,High,2,Medical,3,Male,Medium,2,1.0,Research Scientist,1,Single,Medium,0,Yes,22.0,4.0,1.0,0,Low,0,3,Low,2,1.0,2.0
95,Senior Citizen,Yes,Travel_Rarely,Medium,Research & Development,Medium,4,Medical,3,Female,Medium,2,3.0,Manufacturing Director,1,Married,Medium,7,Yes,14.0,3.0,4.0,0,Very High,0,2,Very High,9,5.0,9.0
96,Adult,No,Travel_Rarely,Low,Sales,Very High,2,Marketing,3,Male,Low,2,2.0,Sales Executive,2,Married,High,2,No,16.0,3.0,3.0,2,High,1,1,Medium,2,1.0,3.0
97,Elderly,No,Travel_Rarely,High,Research & Development,Very High,3,Life Sciences,2,Male,Very High,3,2.0,Manufacturing Director,2,Married,Medium,1,No,13.0,3.0,4.0,1,Medium,3,2,High,8,7.0,8.0
98,Elderly,No,Travel_Rarely,Medium,Sales,Medium,4,Marketing,3,Male,Low,2,4.0,Manager,1,Married,Medium,1,No,11.0,3.0,1.0,0,Very High,3,4,Very High,6,1.0,16.0
99,Adult,No,Travel_Rarely,Very High,Research & Development,High,4,Life Sciences,4,Female,Medium,4,1.0,Laboratory Technician,3,Married,Very High,3,Yes,13.0,3.0,3.0,1,Medium,3,3,High,7,1.0,7.0
100,Adult,No,Travel_Rarely,Very High,Research & Development,Very High,4,Life Sciences,1,Male,High,3,2.0,Healthcare Representative,3,Married,Low,6,No,14.0,3.0,2.0,2,Medium,2,2,Low,2,0.0,2.0
101,Young Adult,No,Non-Travel,High,Sales,High,2,Medical,1,Male,Low,3,1.0,Sales Representative,4,Single,Low,1,No,24.0,4.0,3.0,0,Low,3,2,Low,2,2.0,2.0
102,Elderly,No,Non-Travel,Very High,Research & Development,Low,1,Life Sciences,3,Male,High,2,3.0,Healthcare Representative,3,Married,Low,3,No,23.0,4.0,4.0,1,Very High,3,2,Very High,15,14.0,4.0
103,Adult,No,Travel_Rarely,Very High,Research & Development,Very High,2,Medical,4,Female,High,3,2.0,Research Scientist,4,Married,Medium,1,No,13.0,3.0,4.0,2,High,2,3,Very High,8,1.0,9.0
104,Adult,No,Travel_Rarely,Medium,Research & Development,Medium,4,Life Sciences,4,Male,Very High,3,2.0,Healthcare Representative,4,Divorced,High,9,No,14.0,3.0,2.0,1,Medium,2,3,Low,2,1.0,2.0
105,Adult,No,Travel_Rarely,Low,Sales,Medium,4,Marketing,4,Female,Medium,2,2.0,Sales Executive,4,Single,Low,0,No,20.0,4.0,1.0,0,Medium,2,3,High,7,0.0,5.0
106,Adult,No,Travel_Frequently,Very High,Sales,High,2,Marketing,4,Male,Medium,3,2.0,Sales Executive,4,Divorced,High,1,No,11.0,3.0,4.0,1,Low,3,3,Medium,2,0.0,2.0
107,Adult,No,Non-Travel,High,Research & Development,Very High,4,Life Sciences,2,Female,Medium,3,2.0,Laboratory Technician,2,Married,Low,7,No,15.0,3.0,3.0,1,High,3,3,High,8,0.0,8.0
108,Elderly,No,Travel_Frequently,High,Sales,Low,3,Marketing,3,Female,High,3,2.0,Sales Executive,1,Divorced,Low,0,No,17.0,3.0,4.0,1,Medium,2,3,High,3,1.0,7.0
109,Adult,No,Non-Travel,Medium,Sales,Very High,3,Life Sciences,4,Male,Low,3,4.0,Manager,3,Single,High,1,No,11.0,3.0,4.0,0,Medium,2,3,Very High,8,6.0,0.0
110,Adult,No,Travel_Frequently,Low,Research & Development,High,1,Life Sciences,3,Female,Medium,3,1.0,Laboratory Technician,3,Married,High,1,No,11.0,3.0,1.0,1,Medium,3,3,High,3,0.0,7.0
111,Adult,No,Travel_Rarely,Very High,Research & Development,High,1,Medical,3,Male,High,3,3.0,Research Director,3,Single,Low,7,No,21.0,4.0,3.0,0,Medium,3,3,Medium,3,2.0,2.0
112,Senior Citizen,Yes,Travel_Rarely,Low,Research & Development,Very High,4,Medical,4,Female,Very High,3,3.0,Healthcare Representative,4,Married,Low,1,No,12.0,3.0,4.0,1,Very High,3,2,Very High,10,15.0,6.0
113,Senior Citizen,No,Travel_Rarely,High,Research & Development,Low,3,Medical,4,Female,High,3,5.0,Research Director,1,Married,Very High,3,Yes,21.0,4.0,3.0,1,Very High,3,3,High,8,1.0,5.0
114,Adult,No,Travel_Rarely,Very High,Research & Development,Low,3,Medical,3,Female,High,3,1.0,Research Scientist,1,Married,Medium,1,No,25.0,4.0,3.0,1,Low,3,3,Low,2,1.0,2.0
115,Adult,No,Non-Travel,Very High,Research & Development,High,4,Life Sciences,1,Male,High,4,1.0,Laboratory Technician,2,Married,Medium,1,No,22.0,4.0,2.0,0,Low,3,3,Medium,4,0.0,2.0
116,Adult,No,Travel_Rarely,High,Human Resources,Medium,2,Human Resources,4,Male,Medium,3,1.0,Human Resources,2,Divorced,Very High,3,Yes,11.0,3.0,3.0,1,Medium,4,4,Medium,3,0.0,3.0
117,Adult,Yes,Travel_Rarely,Medium,Research & Development,Very High,3,Technical Degree,3,Male,High,1,1.0,Laboratory Technician,4,Single,Very High,1,Yes,18.0,3.0,2.0,0,Low,3,1,Low,0,0.0,0.0
118,Adult,No,Travel_Rarely,High,Sales,Very High,1,Medical,3,Female,Low,3,2.0,Sales Executive,4,Single,Very High,1,No,23.0,4.0,2.0,0,Low,5,2,High,5,1.0,4.0
119,Adult,No,Non-Travel,Medium,Sales,Low,3,Life Sciences,4,Male,High,3,2.0,Sales Executive,3,Married,High,1,No,14.0,3.0,1.0,1,Low,3,2,Medium,3,0.0,2.0
120,Adult,No,Travel_Rarely,Low,Research & Development,Low,2,Medical,1,Male,Medium,2,1.0,Laboratory Technician,1,Married,Medium,1,No,16.0,3.0,1.0,2,Low,2,3,Medium,3,1.0,3.0
121,Adult,No,Travel_Frequently,Medium,Research & Development,Medium,4,Other,4,Male,Medium,2,1.0,Laboratory Technician,4,Married,Very High,1,No,13.0,3.0,2.0,1,Low,2,4,Low,2,2.0,2.0
122,Adult,Yes,Travel_Rarely,Medium,Sales,Low,3,Life Sciences,2,Male,High,2,2.0,Sales Executive,1,Married,Low,1,No,11.0,3.0,4.0,1,Medium,4,3,Very High,8,6.0,7.0
123,Adult,No,Travel_Rarely,Medium,Research & Development,Medium,3,Life Sciences,1,Female,Very High,3,1.0,Research Scientist,4,Married,Medium,1,No,21.0,4.0,1.0,0,Low,5,3,Low,0,0.0,0.0
124,Adult,No,Travel_Rarely,Medium,Sales,Low,4,Life Sciences,3,Female,Medium,3,2.0,Sales Representative,4,Single,Low,3,No,15.0,3.0,3.0,0,Very High,2,2,Very High,7,6.0,7.0
125,Adult,No,Travel_Rarely,Very High,Research & Development,Low,1,Medical,2,Female,Very High,4,2.0,Healthcare Representative,3,Divorced,Medium,5,No,20.0,4.0,2.0,3,High,0,3,Very High,11,11.0,8.0
126,Adult,No,Travel_Rarely,High,Research & Development,Very High,3,Medical,3,Female,Very High,2,2.0,Healthcare Representative,1,Single,High,1,No,19.0,3.0,2.0,0,Medium,2,3,Very High,9,1.0,8.0
